id,alcohol,gluten_free,spicy,sugar,vegan,vegetarian,halal,casherut,id_user_insert,date_insert,id_user_update,date_update,deleted,date_delete
1,0,0,0,0,0,1,0,0,1,2021-05-22 16:15:52,27,2021-08-05 14:22:02,0,1971-01-01 00:00:00
2,1,0,0,0,0,0,0,0,6,2021-05-24 09:38:58,63,2021-07-21 07:11:28,0,1971-01-01 00:00:00
3,1,0,0,0,0,0,0,0,1,2021-05-29 13:08:59,27,2021-08-05 11:30:55,0,1971-01-01 00:00:00
4,0,0,2,0,0,0,0,0,5,2021-08-09 10:39:10,27,2021-08-09 08:39:44,0,1971-01-01 00:00:00
5,1,0,0,0,0,0,0,0,63,2021-07-16 08:39:29,63,2021-07-16 08:39:46,0,1971-01-01 00:00:00
6,1,0,0,0,0,0,0,0,63,2021-07-16 08:40:07,63,2021-07-16 08:40:07,0,1971-01-01 00:00:00
7,1,0,0,0,0,0,0,0,63,2021-07-16 08:40:19,63,2021-07-16 08:40:19,0,1971-01-01 00:00:00
8,1,0,0,0,0,0,0,0,63,2021-07-16 08:40:52,63,2021-07-16 08:40:52,0,1971-01-01 00:00:00
9,1,0,0,0,0,0,0,0,63,2021-07-16 08:41:19,63,2021-07-16 08:41:19,0,1971-01-01 00:00:00
10,1,0,0,0,0,0,0,0,63,2021-07-16 08:41:36,63,2021-07-16 08:41:36,0,1971-01-01 00:00:00
11,1,0,0,0,0,0,0,0,63,2021-07-16 08:41:54,63,2021-07-16 08:41:54,0,1971-01-01 00:00:00
12,1,0,0,0,0,0,0,0,63,2021-07-16 08:42:17,63,2021-07-16 08:42:17,0,1971-01-01 00:00:00
13,1,0,0,0,0,0,0,0,63,2021-07-16 08:43:33,63,2021-07-16 08:43:33,0,1971-01-01 00:00:00
14,1,0,0,0,0,0,0,0,63,2021-07-16 08:44:00,63,2021-07-16 08:44:00,0,1971-01-01 00:00:00
15,1,0,0,0,0,0,0,0,63,2021-07-16 08:44:25,63,2021-07-16 08:44:25,0,1971-01-01 00:00:00
16,1,0,0,0,0,0,0,0,63,2021-07-16 08:44:56,63,2021-07-16 08:44:56,0,1971-01-01 00:00:00
17,1,0,0,0,0,0,0,0,63,2021-07-16 08:45:55,63,2021-07-16 08:45:55,0,1971-01-01 00:00:00
18,1,0,0,0,0,0,0,0,63,2021-07-16 08:46:29,63,2021-07-16 08:46:29,0,1971-01-01 00:00:00
19,1,0,0,0,0,0,0,0,63,2021-07-16 09:17:16,63,2021-07-16 09:17:16,0,1971-01-01 00:00:00
20,1,0,0,0,0,0,0,0,63,2021-07-16 09:17:47,63,2021-07-16 09:17:47,0,1971-01-01 00:00:00
21,1,0,0,0,0,0,0,0,63,2021-07-16 09:18:56,63,2021-07-16 09:18:56,0,1971-01-01 00:00:00
22,1,0,0,0,0,0,0,0,63,2021-07-16 09:19:10,63,2021-07-16 09:19:10,0,1971-01-01 00:00:00
23,1,0,0,0,0,0,0,0,63,2021-07-16 09:20:47,63,2021-07-16 09:21:09,0,1971-01-01 00:00:00
24,1,0,0,0,0,0,0,0,63,2021-07-16 09:22:32,63,2021-07-16 09:22:55,0,1971-01-01 00:00:00
25,1,0,0,0,0,0,0,0,63,2021-07-16 09:23:26,63,2021-07-16 09:23:26,0,1971-01-01 00:00:00
26,1,0,0,0,0,0,0,0,63,2021-07-16 09:24:00,63,2021-07-16 09:24:00,0,1971-01-01 00:00:00
27,1,0,0,0,0,0,0,0,63,2021-07-16 09:24:37,63,2021-07-16 09:24:37,0,1971-01-01 00:00:00
28,1,0,0,0,0,0,0,0,63,2021-07-16 09:25:39,63,2021-07-16 09:25:39,0,1971-01-01 00:00:00
29,1,0,0,0,0,0,0,0,63,2021-07-16 09:29:22,63,2021-07-16 09:29:22,0,1971-01-01 00:00:00
30,1,0,0,0,0,0,0,0,63,2021-07-16 09:29:57,63,2021-07-16 09:29:57,0,1971-01-01 00:00:00
31,1,0,0,0,0,0,0,0,63,2021-07-16 09:30:19,63,2021-07-16 09:30:19,0,1971-01-01 00:00:00
32,0,0,0,0,0,0,0,0,1,2021-07-16 11:51:08,1,2021-07-16 11:51:08,0,1971-01-01 00:00:00
33,1,0,0,0,0,0,0,0,63,2021-07-21 07:59:58,63,2021-07-21 07:59:58,0,1971-01-01 00:00:00
34,1,0,0,0,0,0,0,0,63,2021-07-21 08:41:07,63,2021-07-21 08:41:07,0,1971-01-01 00:00:00
35,1,0,0,0,0,0,0,0,63,2021-07-21 08:41:24,63,2021-07-21 08:41:24,0,1971-01-01 00:00:00
36,1,0,0,0,0,0,0,0,63,2021-07-21 08:41:55,63,2021-07-21 08:41:55,0,1971-01-01 00:00:00
37,1,0,0,0,0,0,0,0,63,2021-07-21 08:42:11,63,2021-07-21 08:42:11,0,1971-01-01 00:00:00
38,1,0,0,0,0,0,0,0,63,2021-07-21 08:42:25,63,2021-07-21 08:42:25,0,1971-01-01 00:00:00
39,1,0,0,0,0,0,0,0,63,2021-07-21 08:42:43,63,2021-07-21 08:42:43,0,1971-01-01 00:00:00
40,1,0,0,0,0,0,0,0,63,2021-07-21 08:42:56,63,2021-07-21 08:42:56,0,1971-01-01 00:00:00
41,1,0,0,0,0,0,0,0,63,2021-07-21 08:43:10,63,2021-07-21 08:43:10,0,1971-01-01 00:00:00
42,1,0,0,0,0,0,0,0,63,2021-07-21 08:43:30,63,2021-07-21 08:43:30,0,1971-01-01 00:00:00
43,1,0,0,0,0,0,0,0,63,2021-07-21 08:43:42,63,2021-07-21 08:43:42,0,1971-01-01 00:00:00
44,1,0,0,0,0,0,0,0,63,2021-07-21 08:45:16,63,2021-07-21 08:45:16,0,1971-01-01 00:00:00
45,1,0,0,0,0,0,0,0,63,2021-07-21 08:45:29,63,2021-07-21 08:45:29,0,1971-01-01 00:00:00
46,1,0,0,0,0,0,0,0,63,2021-07-21 08:45:42,63,2021-07-21 08:45:42,0,1971-01-01 00:00:00
47,1,0,0,0,0,0,0,0,63,2021-07-21 08:45:55,63,2021-07-21 08:45:55,0,1971-01-01 00:00:00
48,1,0,0,0,0,0,0,0,63,2021-07-21 08:46:10,63,2021-07-21 08:46:10,0,1971-01-01 00:00:00
49,1,0,0,0,0,0,0,0,63,2021-07-21 08:46:47,63,2021-07-21 08:46:47,0,1971-01-01 00:00:00
50,1,0,0,0,0,0,0,0,63,2021-07-21 08:47:02,63,2021-07-21 08:47:02,0,1971-01-01 00:00:00
51,1,0,0,0,0,0,0,0,63,2021-07-21 08:47:15,63,2021-07-21 08:47:15,0,1971-01-01 00:00:00
52,1,0,0,0,0,0,0,0,63,2021-07-21 08:47:27,63,2021-07-21 08:47:27,0,1971-01-01 00:00:00
53,1,0,0,0,0,0,0,0,63,2021-07-21 08:47:39,63,2021-07-21 08:47:39,0,1971-01-01 00:00:00
54,1,0,0,0,0,0,0,0,63,2021-07-21 08:47:51,63,2021-07-21 08:47:51,0,1971-01-01 00:00:00
55,1,0,0,0,0,0,0,0,63,2021-07-21 08:48:02,63,2021-07-21 08:48:02,0,1971-01-01 00:00:00
56,1,0,0,0,0,0,0,0,63,2021-07-21 08:48:14,63,2021-07-21 08:48:14,0,1971-01-01 00:00:00
57,1,0,0,0,0,0,0,0,63,2021-07-21 08:48:28,63,2021-07-21 08:48:28,0,1971-01-01 00:00:00
58,1,0,0,0,0,0,0,0,63,2021-07-21 08:48:45,63,2021-07-21 08:48:45,0,1971-01-01 00:00:00
